証券コード	銘柄名	数量	評価額
7611	ハイデ日高	125	471875
7575	日本ライフライン	100	134500
7309	シマノ	1	15650
7412	アトム	40	31160
7936	アシックス	10	28950
9201	JAL	2	7200
8113	ユニチャーム	20	58240
2801	キッコーマン	8	23728
7846	パイロット	20	138600
2751	テンポス	10	11900
2269	明治HD	8	88080
4507	塩野義製薬	13	40625
6741	日信号	26	33046
6645	オムロン	7	38150
7272	ヤマハ発	20	48840
2412	ベネ・ワン	5	6500
2331	ALSOK	2	5852
9974	ベルク	15	54825
7951	ヤマハ	4	7180
8332	横浜銀	9	5915.7
7458	第一興商	100	326000
4901	富士フイルム	10	37010
2193	COOKPAD	5	20750
6118	アイダ	5	5465
2229	カルビー	25	104375
3030	ハブ	2	9530
6501	日立	7	6304.9
6257	藤商事	4	6156
9735	セコム	1	6945
4837	シダックス	10	5450
3097	物語コーポ	2	7500
2165	メガロス	10	15980
8830	住友不	2	8263
7013	IHI	10	6170
5332	TOTO	4	5632
3407	旭化成	5	5527.5
3193	鳥貴族	2	15580
8001	伊藤忠	4	5168
5943	ノーリツ	3	5925
6849	日本光電	20	119600
6952	カシオ計	19	35359
8214	AOKI HD	100	122700
5110	住友ゴム	3	5400
4503	アステラス薬	11	18551.5
9436	沖縄セルラー	2	6500
7701	島津製	4	4928
4967	小林製薬	2	14080
6503	三菱電	5	7230
9644	タナベ経営	18	15408
9006	京急	7	6265
8022	ミズノ	34	20026
7564	ワークマン	8	44480
5949	ユニプレス	3	5946
2288	丸大食	60	24840
9989	サンドラッグ	9	44415
7453	良品計画	1	14880
5233	太平洋セメ	15	5685
6758	ソニー	3	7417.5
7751	キヤノン	2	7681
2764	ひらまつ	50	32500
2362	夢真HD	10	7350
1801	大成建	10	6870
4327	日本SHL	5	12710
2587	サントリーBF	7	29190
4793	BSC	10	8660
1802	大林組	10	7830
9381	エーアイティー	8	6304
6425	ユニバーサル	5	9000
8306	三菱UFJ	15	9967.5
9020	JR東	1	9123
4452	花王	2	9514
9795	ステップ	8	6712
8086	ニプロ	10	10430
8031	三井物産	25	40537.5
8316	三井住友	2	8750
8802	三菱地所	3	7666.5
4666	パーク24	50	88650
8002	丸紅	7	5072.9
7752	リコー	4	4916
9843	ニトリHD	3	19440
2371	カカクコム	10	17410
4326	CIJ	50	24450
3197	すかいらーく	5	6045
4555	沢井薬	1	6940
9412	スカパーJ	10	7150
9437	NTTドコモ	3	5304
7739	キヤノン電子	3	5721
3079	DVx	5	5225
9766	コナミ	4	8880
2670	ABCマート	4	23320
9984	ソフトバンク	1	7210
4568	第一三共	13	21944
4578	大塚HD	6	21702
6098	リクルートHD	2	6880
8136	サンリオ	7	21000
9672	都競馬	16	4784
9432	NTT	1	6211
4293	セプテーニHD	4	4652
4911	資生堂	10	16930
5015	BPカストロール	4	4664
9468	カドカワ・ドワンゴ	3	5715
3765	ガンホー	10	4410
6460	セガサミーHD	3	4668
2678	アスクル	2	4302
3662	エイチーム	1	5000
