証券コード	銘柄名	株式分割履歴	2026年6月19日終値
7611	Hiday Hidaka Corp.	2015/02 1:1.2 2016/02 1:1.2 2017/02 1:1.2 2018/02 1:1.2 2019/02 1:1.1	2501.0
7575	Japan Lifeline Co., Ltd.	2015/09 1:2 2016/11 1:2 2017/12 1:2	1286.0
7309	Shimano Inc.	なし	17205.0
7412	ATOM Corporation	なし	362.0
7936	ASICS Corporation	2024/06 1:4	4363.0
9201	Japan Airlines Co., Ltd.	なし	2778.5
8113	Unicharm Corporation	2024/12 1:3	928.8
2801	Kikkoman Corporation	2024/03 1:5	1540.0
7846	Pilot Corporation	2015/06 1:2	4936.0
2751	TENPOS HOLDINGS Co.,Ltd.	なし	3740.0
2269	Meiji Holdings Co., Ltd.	2015/09 1:2 2023/03 1:2	3581.0
4507	Shionogi & Co., Ltd.	2024/09 1:3	2780.0
6741	Nippon Signal Co., Ltd.	なし	1586.0
6645	OMRON Corporation	なし	6134.0
7272	Yamaha Motor Co., Ltd.	2023/12 1:3	1237.0
2412	不明(2412)	なし	N/A
2331	Alsok Co.,Ltd.	2023/06 1:5	1064.5
9974	Belc CO., LTD.	なし	6170.0
7951	Yamaha Corporation	2024/09 1:3	1115.0
8332	不明(8332)	なし	N/A
7458	Daiichikosho Co., Ltd.	2023/03 1:2	1650.5
4901	FUJIFILM Holdings Corporation	2024/03 1:3	3383.0
2193	Cookpad Inc.	2015/06 1:3	116.0
6118	Aida Engineering, Ltd.	なし	1112.0
2229	Calbee, Inc.	なし	2797.5
3030	Hub Co., Ltd.	2015/02 1:3 2017/05 1:3	878.0
6501	Hitachi, Ltd.	2018/09 1:0.2 2024/06 1:5	4764.0
6257	Fujishoji Co.,Ltd.	なし	996.0
9735	SECOM CO., LTD.	2024/09 1:2	6458.0
4837	不明(4837)	なし	N/A
3097	The Monogatari Corporation	2021/02 1:2 2023/02 1:3	4640.0
2165	不明(2165)	なし	N/A
8830	Sumitomo Realty & Development Co., Ltd.	2025/12 1:2	3609.0
7013	IHI Corporation	2017/09 1:0.1 2025/09 1:7	2817.0
5332	TOTO LTD.	2015/09 1:0.5	8390.0
3407	Asahi Kasei Corporation	なし	1792.5
3193	Eternal Hospitality Group Co.,Ltd.	2015/01 1:2 2015/07 1:3	2631.0
8001	ITOCHU Corporation	2025/12 1:5	1847.5
5943	Noritz Corporation	なし	2247.0
6849	Nihon Kohden Corporation	2015/03 1:2 2024/06 1:2	1385.5
6952	Casio Computer Co.,Ltd.	なし	1906.5
8214	AOKI Holdings Inc.	なし	1627.0
5110	Sumitomo Rubber Industries, Ltd.	なし	2257.0
4503	Astellas Pharma Inc.	なし	2145.5
9436	Okinawa Cellular Telephone Company	2022/09 1:2 2025/09 1:2	3650.0
7701	Shimadzu Corporation	なし	3828.0
4967	Kobayashi Pharmaceutical Co., Ltd.	2016/06 1:2	5300.0
6503	Mitsubishi Electric Corporation	なし	6051.0
9644	Tanabe Consulting Group Co.,Ltd.	2021/09 1:2 2025/03 1:2	738.0
9006	Keikyu Corporation	2017/09 1:0.5	1448.5
8022	Mizuno Corporation	2017/09 1:0.2 2025/03 1:3	3380.0
7564	Workman Co.,Ltd.	2016/03 1:2 2019/03 1:2	6760.0
5949	Unipres Corporation	なし	1205.0
2288	Marudai Food Co., Ltd.	2018/09 1:0.2	2219.0
9989	Sundrug Co.,Ltd.	2017/03 1:2	3792.0
7453	Ryohin Keikaku Co., Ltd.	2019/08 1:10 2025/08 1:2	3496.0
5233	Taiheiyo Cement Corporation	2017/09 1:0.1 2023/12 1:2	4280.0
6758	Sony Group Corporation	2024/09 1:5	3140.0
7751	Canon Inc.	なし	4310.0
2764	Hiramatsu Inc.	なし	139.0
2362	不明(2362)	なし	N/A
1801	Taisei Corporation	2017/09 1:0.2	14785.0
4327	不明(4327)	なし	N/A
2587	Suntory Beverage & Food Limited	なし	4370.0
4793	不明(4793)	なし	N/A
1802	Obayashi Corporation	なし	3280.0
9381	AIT Corporation	なし	2222.0
6425	Universal Entertainment Corporation	なし	630.0
8306	Mitsubishi UFJ Financial Group, Inc.	なし	3278.0
9020	East Japan Railway Company	2024/03 1:3	3415.0
4452	Kao Corporation	なし	6201.0
9795	Step Co.,Ltd.	なし	2241.0
8086	Nipro Corporation	なし	1647.0
8031	Mitsui & Co., Ltd.	2024/06 1:2	4716.0
8316	Sumitomo Mitsui Financial Group, Inc.	2024/09 1:3	6482.0
8802	Mitsubishi Estate Co., Ltd.	なし	4050.0
4666	PARK24 Co., Ltd.	なし	2083.5
8002	Marubeni Corporation	なし	4895.0
7752	Ricoh Company, Ltd.	なし	1477.0
9843	Nitori Holdings Co., Ltd.	2025/09 1:5	2358.0
2371	Kakaku.com, Inc.	なし	3321.0
4326	INTAGE HOLDINGS Inc.	2017/09 1:2	1743.0
3197	Skylark Holdings Co., Ltd.	なし	2734.0
4555	不明(4555)	なし	N/A
9412	SKY Perfect JSAT Corporation	なし	3200.0
9437	不明(9437)	なし	N/A
7739	Canon Electronics Inc.	2026/04 1:1.60382e-07	N/A
3079	DVx Inc.	なし	976.0
9766	Konami Group Corporation	なし	17430.0
2670	ABC-Mart,Inc.	2023/08 1:3	2699.0
9984	SoftBank Group Corp.	2019/06 1:2 2025/12 1:4	7111.0
4568	Daiichi Sankyo Company, Limited	2020/09 1:3	2541.5
4578	Otsuka Holdings Co., Ltd.	なし	10515.0
6098	Recruit Holdings Co., Ltd.	2017/06 1:3	10865.0
8136	Sanrio Company, Ltd.	2024/03 1:3 2026/03 1:5	918.0
9672	Tokyotokeiba Co.,Ltd.	2017/06 1:0.1	4775.0
9432	NTT, Inc.	2015/06 1:2 2019/12 1:2 2023/06 1:25	144.4
4293	Septeni Holdings Co., Ltd.	2016/09 1:5	478.0
4911	Shiseido Company, Limited	なし	2529.0
5015	BP Castrol K.K.	なし	1010.0
9468	Kadokawa Corporation	2021/12 1:2	3278.0
3765	GungHo Online Entertainment, Inc.	2019/06 1:0.1	2171.0
3662	Ateam Holdings Co., Ltd.	2015/04 1:2	924.0
6460	Sega Sammy Holdings Inc.	なし	2114.5
2678	ASKUL Corporation	2021/05 1:2	1158.0
